লেবেল,মূল,সমার্থক ১,সমার্থক ২,সমার্থক ৩,সমার্থক ৪,সমার্থক ৫,উৎপত্তি,উদাহরণ
তৎসম ক্রিয়া,লভ্,পাওয়া,প্রাপ্ত হওয়া,অর্জন করা,লাভ করা,প্রাপ্তি লাভ করা,সংস্কৃত √লভ্ ধাতু থেকে,সে পরিশ্রম করে সুফল লভিল।
তৎসম ক্রিয়া,লঙ্ঘ্,অতিক্রম করা,উল্লঙ্ঘন করা,ভঙ্গ করা,পার হওয়া,লঙ্ঘন করা,সংস্কৃত √লঙ্ঘ্ ধাতু থেকে,সে সীমানা লঙ্ঘন করিল।
তৎসম ক্রিয়া,লিপ্,লেপন করা,আবরণ করা,মাখানো,লিখা,সংলগ্ন করা,সংস্কৃত √লিপ্ ধাতু থেকে,সে দেয়ালে মাটি লেপিল।
তৎসম ক্রিয়া,লুন্ঠ্,লুটপাট করা,ছিনতাই করা,অপহরণ করা,হরণ করা,লুণ্ঠন করা,সংস্কৃত √লুন্ঠ্ ধাতু থেকে,ডাকাতরা গ্রাম লুণ্ঠন করিল।
তৎসম ক্রিয়া,লক্ষ্,দেখা,নজর রাখা,লক্ষ্য করা,দৃষ্টি দেওয়া,ধ্যান করা,সংস্কৃত √লক্ষ্ ধাতু থেকে,সে লক্ষ্য করিয়া তীর ছুঁড়িল।
তৎসম ক্রিয়া,লড়্,যুদ্ধ করা,ঝগড়া করা,সংঘর্ষ করা,প্রতিযোগিতা করা,মল্লযুদ্ধ করা,সংস্কৃত √লড়্ ধাতু থেকে,দুই বাহিনী যুদ্ধে লড়িল।
তৎসম ক্রিয়া,লালয়্,লালন করা,পালন করা,যত্ন করা,সেবা করা,প্রতিপালন করা,সংস্কৃত √লালয়্ ধাতু থেকে,মাতা সন্তানকে লালন করিলেন।
তৎসম ক্রিয়া,লিহ্,চাটা,আস্বাদন করা,রসনা করা,লেহন করা,জিহ্বা দ্বারা স্পর্শ করা,সংস্কৃত √লিহ্ ধাতু থেকে,কুকুরটি থালা লেহন করিল।
তৎসম ক্রিয়া,লোক্,দেখা,দর্শন করা,অবলোকন করা,নিরীক্ষণ করা,প্রত্যক্ষ করা,সংস্কৃত √লোক্ ধাতু থেকে,সে দূর হতে লোকিল।
তৎসম ক্রিয়া,লভ্,প্রাপ্ত হওয়া,অর্জন করা,পাওয়া,লাভ করা,উপার্জন করা,সংস্কৃত √লভ্ ধাতু থেকে,সে পুরস্কার লভিল।
তৎসম ক্রিয়া,লজ্জ্,লজ্জা পাওয়া,শরম করা,সংকোচ বোধ করা,হীনবোধ করা,নত হওয়া,সংস্কৃত √লজ্জ্ ধাতু থেকে,সে অপমান পাইয়া লজ্জিত হইল।
তৎসম ক্রিয়া,লিখ্,লিখা,রচনা করা,অঙ্কন করা,চিত্রাঙ্কন করা,নথিবদ্ধ করা,সংস্কৃত √লিখ্ ধাতু থেকে,সে পত্র লিখিল।
তৎসম ক্রিয়া,লী,আদায় করা,সংগ্রহ করা,উপার্জন করা,আয় করা,সম্পদ অর্জন করা,সংস্কৃত √লী ধাতু থেকে,ব্যবসায়ী ধন লীলেন।
তৎসম ক্রিয়া,লুট্,লুট করা,ছিনতাই করা,হরণ করা,অপহরণ করা,ডাকাতি করা,সংস্কৃত √লুট্ ধাতু থেকে,চোরেরা ধন লুটিল।
তৎসম ক্রিয়া,লম্ব্,ঝুলানো,দোলানো,আকর্ষণ করা,নিচে নামা,দীর্ঘ হওয়া,সংস্কৃত √লম্ব্ ধাতু থেকে,লতা গাছে লম্বিত হইল।
তৎসম ক্রিয়া,লঘ্,হালকা করা,কমানো,লঘু করা,সংক্ষেপ করা,অবমূল্যায়ন করা,সংস্কৃত √লঘ্ ধাতু থেকে,সে ভার লঘু করিল।
তৎসম ক্রিয়া,লপ্,কথা বলা,বাক্য দেওয়া,উচ্চারণ করা,ভাষণ দেওয়া,কথোপকথন করা,সংস্কৃত √লপ্ ধাতু থেকে,সে মিথ্যা লপিল।
তৎসম ক্রিয়া,লালস্,লালায়িত হওয়া,আকাঙ্ক্ষা করা,ইচ্ছা প্রকাশ করা,লোভ করা,প্রবল ইচ্ছা করা,সংস্কৃত √লালস্ ধাতু থেকে,সে ধনে লালসিল।
তৎসম ক্রিয়া,লুষ্ঠ্,পড়ে যাওয়া,গড়ানো,লুটাইয়া পড়া,আবর্তন করা,ভূমিতে গড়ানো,সংস্কৃত √লুষ্ঠ্ ধাতু থেকে,সে মাটিতে লুষ্ঠিত হইল।
তৎসম ক্রিয়া,লোকায়্,দেখা,অবলোকন করা,নিরীক্ষণ করা,প্রত্যক্ষ করা,দর্শন করা,সংস্কৃত √লোকায়্ ধাতু থেকে,সে দৃশ্য লোকাইল।
তৎসম ক্রিয়া,লম্ফ্,লাফানো,ঝাঁপ দেওয়া,উল্লম্ফন করা,ডিগবাজি খাওয়া,উচ্চে উঠা,সংস্কৃত √লম্ফ্ ধাতু থেকে,সে নদীতে লম্ফ দিল।
তৎসম ক্রিয়া,লালয়িত,যত্ন করা,সেবা করা,পালন করা,প্রতিপালন করা,পরিচর্যা করা,সংস্কৃত √লালয়্ ধাতু থেকে,সে শিশুকে লালয়িত করিল।
তৎসম ক্রিয়া,লীন,মিশে যাওয়া,লুকানো,আত্মগোপন করা,অদৃশ্য হওয়া,সমাহিত হওয়া,সংস্কৃত √লী ধাতু থেকে,সে জনতায় লীন হইল।
তৎসম ক্রিয়া,লুষ,লুণ্ঠন করা,ধ্বংস করা,নষ্ট করা,অপহরণ করা,ছিনতাই করা,সংস্কৃত √লুষ ধাতু থেকে,শত্রুরা গ্রাম লুষণ করিল।
তৎসম ক্রিয়া,লিখিত,লিখা,রচনা করা,অঙ্কন করা,নথিবদ্ধ করা,চিত্রিত করা,সংস্কৃত √লিখ্ ধাতু থেকে,সে পত্র লিখিত করিল।
তৎসম ক্রিয়া,লম্বিত,ঝুলানো,দোলানো,আকর্ষণ করা,নিচে নামা,দীর্ঘ করা,সংস্কৃত √লম্ব্ ধাতু থেকে,সে দড়ি লম্বিত করিল।
তৎসম ক্রিয়া,লালিত,পালন করা,যত্ন করা,সেবা করা,প্রতিপালন করা,পরিচর্যা করা,সংস্কৃত √লালয়্ ধাতু থেকে,মাতা সন্তানকে লালিত করিলেন।
তৎসম ক্রিয়া,লাঞ্ছিত,অপমানিত করা,নিন্দা করা,অবমাননা করা,হেয়প্রতিপন্ন করা,অপদস্থ করা,সংস্কৃত √লাঞ্ছ্ ধাতু থেকে,সে লাঞ্ছিত হইল।
তৎসম ক্রিয়া,লালায়িত,আকাঙ্ক্ষা করা,ইচ্ছা প্রকাশ করা,লোভ করা,প্রবল ইচ্ছা করা,মুগ্ধ হওয়া,সংস্কৃত √লালস্ ধাতু থেকে,সে ধনে লালায়িত হইল।
তৎসম ক্রিয়া,লভিত,প্রাপ্ত হওয়া,অর্জন করা,পাওয়া,লাভ করা,উপার্জন করা,সংস্কৃত √লভ্ ধাতু থেকে,সে পুরস্কার লভিত হইল।
তৎসম ক্রিয়া,লুণ্ঠিত,লুটপাট করা,ধ্বংস করা,নষ্ট করা,অপহরণ করা,ছিনতাই করা,সংস্কৃত √লুণ্ঠ্ ধাতু থেকে,সে গ্রাম লুণ্ঠিত করিল।
তৎসম ক্রিয়া,লিখন,লিখা,রচনা করা,অঙ্কন করা,নথিবদ্ধ করা,চিত্রাঙ্কন করা,সংস্কৃত √লিখ্ ধাতু থেকে,সে পত্র লিখন করিল।
তৎসম ক্রিয়া,লালন,পালন করা,যত্ন করা,সেবা করা,প্রতিপালন করা,পরিচর্যা করা,সংস্কৃত √লালয়্ ধাতু থেকে,মাতা সন্তানকে লালন করিলেন।
তৎসম ক্রিয়া,লাঞ্ছন,অপমান করা,নিন্দা করা,অবমাননা করা,হেয়প্রতিপন্ন করা,অপদস্থ করা,সংস্কৃত √লাঞ্ছ্ ধাতু থেকে,সে লাঞ্ছন ভোগ করিল।
