মূল,লেবেল,সমার্থক ১,সমার্থক ২,সমার্থক ৩,সমার্থক ৪,সমার্থক ৫,উৎপত্তি,উদাহরণ,প্রকৃতি,কাল - অতীত,কাল - বর্তমান,কাল - ভবিষ্যৎ
খাওয়া,কোন প্রকার ক্রিয়া,ভোজন করা,আহার করা,গ্রহণ করা,সেবন করা,খাদ্য গ্রহণ করা,সংস্কৃত "खाद्" (খাদ্) ধাতু থেকে,"সে ভাত **খাচ্ছে**।",সকর্মক,খেয়েছিল,খাচ্ছে,খাবে
খেলা,কোন প্রকার ক্রিয়া,ক্রীড়া করা,আমোদ করা,বিনোদন করা,খেলাধুলা করা,ক্রীড়ানুষ্ঠান করা,সংস্কৃত "खेल्" (খেল্) ধাতু থেকে,"বাচ্চারা মাঠে **খেলছে**।",অকর্মক,খেলেছিল,খেলছে,খেলবে
খোঁজা,কোন প্রকার ক্রিয়া,অনুসন্ধান করা,তল্লাশ করা,সন্ধান করা,অন্বেষণ করা,খুঁজে বের করা,সংস্কৃত "खोज्" (খোজ্) ধাতু থেকে,"পুলিশ চোর **খুঁজছে**।",সকর্মক,খুঁজেছিল,খুঁজছে,খুঁজবে
খোলা,কোন প্রকার ক্রিয়া,উন্মুক্ত করা,প্রকাশ করা,আবরণমুক্ত করা,দরজা খুলে দেওয়া,মুক্ত করা,সংস্কৃত "खुल्ल्" (খুল্ল্) ধাতু থেকে,"দরজা **খুলছে**।",সকর্মক,খুলেছিল,খুলছে,খুলবে
খাঁটি,কোন প্রকার ক্রিয়া,পরিশোধন করা,শোধন করা,বিশুদ্ধ করা,নির্মল করা,পরিষ্কার করা,সংস্কৃত "खण्ड्" (খণ্ড্) ধাতু থেকে,"সোনা **খাঁটি** করছে।",সকর্মক,খাঁটি করেছিল,খাঁটি করছে,খাঁটি করবে
খরচ করা,কোন প্রকার ক্রিয়া,ব্যয় করা,ব্যয় করা,নিয়োগ করা,বিনিয়োগ করা,উপভোগ করা,ফার্সি "खर्च" (খরচ) থেকে,"টাকা **খরচ** করছে।",সকর্মক,খরচ করেছিল,খরচ করছে,খরচ করবে
খামাখা,কোন প্রকার ক্রিয়া,অকারণে করা,বিনা কারণে করা,অযাচিতভাবে করা,অপ্রয়োজনে করা,অহেতুক করা,আরবি "खाम" (খাম) + বাংলা "খা","**খামাখা** বিরক্ত করছে।",অকর্মক,খামাখা করেছিল,খামাখা করছে,খামাখা করবে
খেলাপ করা,কোন প্রকার ক্রিয়া,লঙ্ঘন করা,ভঙ্গ করা,অমান্য করা,উল্লঙ্ঘন করা,অবাধ্য হওয়া,আরবি "खिलाफ" (খেলাপ) থেকে,"চুক্তি **খেলাপ** করছে।",সকর্মক,খেলাপ করেছিল,খেলাপ করছে,খেলাপ করবে
খোদাই করা,কোন প্রকার ক্রিয়া,উৎকীর্ণ করা,খনন করা,আকৃতি দেওয়া,নকশা করা,উদ্গত করা,আরবি "खोद" (খোদ) ধাতু থেকে,"পাথরে নাম **খোদাই** করছে।",সকর্মক,খোদাই করেছিল,খোদাই করছে,খোদাই করবে
খাস করা,কোন প্রকার ক্রিয়া,বিশেষভাবে করা,নির্বাচন করা,উৎকৃষ্ট করা,প্রাধান্য দেওয়া,গুরুত্ব দেওয়া,ফার্সি "खास" (খাস) থেকে,"এটি **খাস** করে তৈরি।",সকর্মক,খাস করেছিল,খাস করছে,খাস করবে
খেদানো,কোন প্রকার ক্রিয়া,তাড়ানো,বিতাড়িত করা,হটানো,নিষ্কাশন করা,বহিষ্কার করা,সংস্কৃত "खिद्" (খিদ্) ধাতু থেকে,"কুকুর **খেদাচ্ছে**।",সকর্মক,খেদিয়েছিল,খেদাচ্ছে,খেদাবে
খোঁড়া,কোন প্রকার ক্রিয়া,খনন করা,মাটি কাটা,গর্ত করা,খনি করা,উৎখনন করা,সংস্কৃত "खन्" (খন্) ধাতু থেকে,"কুয়া **খোঁড়া** হচ্ছে।",সকর্মক,খুঁড়েছিল,খুঁড়ছে,খুঁড়বে
খেলানো,কোন প্রকার ক্রিয়া,ক্রীড়া করানো,আমোদ করানো,বিনোদিত করা,খেলাধুলা করানো,ক্রীড়ানুষ্ঠান করানো,সংস্কৃত "खेल्" (খেল্) ধাতু থেকে,"বাচ্চাদের **খেলাচ্ছে**।",সকর্মক,খেলিয়েছিল,খেলাচ্ছে,খেলাবে
খামচা,কোন প্রকার ক্রিয়া,চিমটি কাটা,দাঁত দিয়ে কামড়ানো,কীটদংশন করা,দংশন করা,আকর্ষণ করা,অনুকারণ শব্দ থেকে,"পিঁপড়া **খামচে** দিয়েছে।",সকর্মক,খামচেছিল,খামচছে,খামচবে
খোয়া,কোন প্রকার ক্রিয়া,হারানো,নষ্ট করা,বিনষ্ট করা,ক্ষয় করা,অপচয় করা,সংস্কৃত "क्षि" (ক্ষি) ধাতু থেকে,"সময় **খোয়াচ্ছে**।",সকর্মক,খোয়েছিল,খোয়াচ্ছে,খোয়াবে
খাড়া করা,কোন প্রকার ক্রিয়া,উত্তোলন করা,দাঁড় করানো,স্থাপন করা,নির্মাণ করা,উদ্ভাবন করা,সংস্কৃত "स्था" (স্থা) ধাতু থেকে,"দেয়াল **খাড়া** করছে।",সকর্মক,খাড়া করেছিল,খাড়া করছে,খাড়া করবে
খেপা,কোন প্রকার ক্রিয়া,রাগানো,ক্রুদ্ধ করা,উত্তেজিত করা,বিরক্ত করা,প্ররোচিত করা,সংস্কৃত "क्षिप्" (ক্ষিপ্) ধাতু থেকে,"তাকে **খেপাচ্ছে**।",সকর্মক,খেপিয়েছিল,খেপাচ্ছে,খেপাবে
খোঁজ নেওয়া,কোন প্রকার ক্রিয়া,তদন্ত করা,জিজ্ঞাসাবাদ করা,অনুসন্ধান নেওয়া,সন্ধান করা,খবর নেওয়া,সংস্কৃত "खोज्" (খোজ্) ধাতু থেকে,"বিষয়টি **খোঁজ** নিচ্ছে।",সকর্মক,খোঁজ নিয়েছিল,খোঁজ নিচ্ছে,খোঁজ নেবে
